Theta0_Value,CostFunction
0,36.89242164532936
0.12801480249999994,23.863385238162554
0.0066700289901824444,16.256857388237698
0.07470635706181913,11.877821856195478
-0.000792481817614904,9.355262228064943
0.03265568542977264,7.900510295807715
-0.01643087398650573,7.059952160630364
-0.0028335828938986854,6.572685213290846
-0.03668592340209074,6.2886474439465
-0.03446347765684189,6.121528367775928
-0.05951114127575602,6.021685084230446
-0.0637887557142967,5.960564569117713
-0.0837301050608229,5.921743937674172
-0.09170429895605606,5.895777126354015
-0.10866681812532816,5.87723088966205
-0.1187254480887791,5.862980012201325
-0.1339331059768785,5.851226775990215
-0.1451492405744144,5.840936993343024
-0.15930633425986557,5.831515633269539
-0.17114714892547989,5.822620253443352
-0.18465907658497366,5.814053692973362
-0.19681842047079398,5.805702353136693
-0.20991866203215057,5.797500698666161
-0.22222075650478265,5.789410840157201
-0.23504390836604297,5.781410790591851
-0.24738795786555642,5.773487710902862
-0.26001173985441656,5.76563402505416
-0.2723400740716559,5.757845185563886
-0.2848094903541747,5.750118388302752
-0.29708924077529003,5.74245183328143
-0.3094304763584074,5.73484429947128
-0.3216430372901441,5.727294900245829
-0.333871450807067,5.719802942708887
-0.3460064177550744,5.712367846774588
-0.35813113864492624,5.704989098614701
-0.3701828219042427,5.697666223872785
-0.3822093945613792,5.690398772247643
-0.3941748139761427,5.683186308616057
-0.4061067185865849,5.676028407916728
-0.41798445022484404,5.668924652197659
-0.4298239775134439,5.66187462890789
-0.4416134903327438,5.654877929905055
-0.4533622447029304,5.647934150874712
-0.46506351904083076,5.641042890986599
-0.47672270797901795,5.634203752687207
-0.48833601613904254,5.627416341570857
-0.49990661668603764,5.620680266296012
-0.5114323967549569,5.613995138527628
-0.522915251270609,5.607360572894602
-0.5343540345589071,5.600776186955981
-0.5457499058186484,5.594241601172213
-0.5571022751429919,5.587756438879459
-0.5684118780434254,5.581320326265655
-0.5796784437482216,5.57493289234771
-0.5909024635589527,5.568593768949389
-0.6020838497406698,5.562302590679648
-0.6132229526179019,5.556058994911383
-0.6243197892175338,5.549862621760337
-0.6353746282667889,5.543713114064291
-0.6463875465373446,5.537610117362458
-0.6573587653160821,5.531553279874986
-0.6682883952311504,5.525542252482691
-0.67917662977879,5.51957668870692
-0.6900235985574233,5.513656244689562
-0.7008294785782682,5.507780579173252
-0.7115944098518165,5.501949353481663
-0.7223185594106366,5.496162231500019
-0.7330020727586932,5.490418879655704
-0.7436451106958958,5.484718966899023
-0.7542478213944274,5.479062164684139
-0.7648103615798286,5.473448146950136
-0.7753328804712329,5.4678765901022
-0.7858155319648857,5.462347172993006
-0.7962584653980646,5.45685957690416
-0.806661832557516,5.451413485527876
-0.8170257823681065,5.446008584948701
-0.8273504649247319,5.440644563625454
-0.8376360284383245,5.4353211123732486
-0.8478826215557645,5.430037924345677
-0.8580903916042312,5.424794695017129
-0.8682594859264263,5.419591122165229
-0.8783900508716801,5.414426905853423
-0.8884822325648111,5.409301748413683
-0.8985361763267312,5.404215354429362
-0.9085520271175476,5.399167430718159
-0.918529929204193,5.394157686315204
-0.9284700264161565,5.389185832456318
-0.9383724619551876,5.384251582561342
-0.9482373785432514,5.379354652217636
-0.9580649183139416,5.374494759163671
-0.9678552228984402,5.3696716232727715
-0.9776084333639202,5.364884966536956
-0.9873246902638417,5.360134513050926
-0.9970041336033744,5.3554199889961565
-1.0066469028691742,5.3507411226251085
-1.0162531370103414,5.346097644245578
-1.025822974456388,5.341489286205128
-1.0353565531071254,5.336915782875696
-1.0448540103438329,5.332376870638239
-1.054315483024274,5.327872287867587
-1.0637411074899508,5.323401774917314
-1.0731310195640615,5.318965074104814
-1.0824853545564967,5.314561929696415
-1.091804247263485,5.310192087892667
-1.1010878319712825,5.305855296813692
-1.1103362424567829,5.301551306484664
-1.1195496119904502,5.297279868821429
-1.1287280733374772,5.293040737616164
-1.1378717587602762,5.288833668523219
-1.146980800019947,5.284658419045017
-1.156055328378508,5.2805147485180814
-1.1650954746005346,5.2764024180991544
-1.1741013689552364,5.272321190751448
-1.1830731412181883,5.268270831230967
-1.1920109206733105,5.26425110607295
-1.2009148361146487,5.260261783578421
-1.2097850158482926,5.256302633800825
-1.2186215876941775,5.252373428532779
-1.2274246789879621,5.248473941292914
-1.2361944165828362,5.2446039473128305
-1.244930926851369,5.240763223524129
-1.253634335687315,5.236951548545553
-1.2623047685074391,5.2331687026702545
-1.2709423502533164,5.229414467853081
-1.2795472053931378,5.2256886276980605
-1.2881194579234998,5.221990967445888
-1.296659231371194,5.218321273961573
-1.3051666487949851,5.214679335722137
-1.313641832787386,5.211064942804425
-1.3220849054764228,5.20747788687302
-1.3304959885273957,5.203917961168213
-1.3388752031446316,5.2003849604940875
-1.3472226700732313,5.196878681206722
-1.3555385096008086,5.193398921202408
-1.3638228415592244,5.189945479906035
-1.372075785326313,5.186518158259506
-1.380297459827603,5.183116758710282
